anchor_id;gosterge;kapsam;donem;deger;birim;veri_sinifi;source_id;kullanim_amaci;notlar
MA-001;Beyan edilen ambalaj atigi - Kagit Karton (150101);Turkiye;2021;452160;ton;official_open;SRC-005;Malzeme payi kalibrasyonu (referans);Atik beyan sistemi verisi - piyasaya surulen ambalaj DEGILDIR
MA-002;Beyan edilen ambalaj atigi - Plastik (150102);Turkiye;2021;187479;ton;official_open;SRC-005;Malzeme payi kalibrasyonu (referans);Atik beyan sistemi verisi
MA-003;Beyan edilen ambalaj atigi - Ahsap (150103);Turkiye;2021;251658;ton;official_open;SRC-005;Malzeme payi kalibrasyonu (referans);Atik beyan sistemi verisi
MA-004;Beyan edilen ambalaj atigi - Metal (150104);Turkiye;2021;16250;ton;official_open;SRC-005;Malzeme payi kalibrasyonu (referans);Atik beyan sistemi verisi
MA-005;Beyan edilen ambalaj atigi - Kompozit (150105);Turkiye;2021;8643;ton;official_open;SRC-005;Malzeme payi kalibrasyonu (referans);Atik beyan sistemi verisi
MA-006;Beyan edilen ambalaj atigi - Cam (150107);Turkiye;2021;30967;ton;official_open;SRC-005;Malzeme payi kalibrasyonu (referans);Atik beyan sistemi verisi
MA-007;Beyan edilen ambalaj atigi - TOPLAM;Turkiye;2021;947157;ton;official_open;SRC-005;Malzeme payi kalibrasyonu (referans);Atik beyan sistemi verisi
MA-008;Beyan edilen ambalaj atigi - Kagit Karton (150101);Turkiye;2022;514270;ton;official_open;SRC-005;Malzeme payi kalibrasyonu (referans);Atik beyan sistemi verisi
MA-009;Beyan edilen ambalaj atigi - Plastik (150102);Turkiye;2022;191417;ton;official_open;SRC-005;Malzeme payi kalibrasyonu (referans);Atik beyan sistemi verisi
MA-010;Beyan edilen ambalaj atigi - Ahsap (150103);Turkiye;2022;265450;ton;official_open;SRC-005;Malzeme payi kalibrasyonu (referans);Atik beyan sistemi verisi
MA-011;Beyan edilen ambalaj atigi - Metal (150104);Turkiye;2022;18635;ton;official_open;SRC-005;Malzeme payi kalibrasyonu (referans);Atik beyan sistemi verisi
MA-012;Beyan edilen ambalaj atigi - Kompozit (150105);Turkiye;2022;11664;ton;official_open;SRC-005;Malzeme payi kalibrasyonu (referans);Atik beyan sistemi verisi
MA-013;Beyan edilen ambalaj atigi - Cam (150107);Turkiye;2022;29887;ton;official_open;SRC-005;Malzeme payi kalibrasyonu (referans);Atik beyan sistemi verisi
MA-014;Beyan edilen ambalaj atigi - TOPLAM;Turkiye;2022;1031326;ton;official_open;SRC-005;Malzeme payi kalibrasyonu (referans);Atik beyan sistemi verisi
