bolum;grup;n;hedef_kapsama;gozlenen_kapsama;ortanca_genislik_ton;ortanca_bagil_genislik
valid_a;tumu;600;0.9;0.915;61.08;0.879
valid_b;tumu;600;0.9;0.9133;45.418;0.885
valid;tumu;1200;0.9;0.9142;52.601;0.882
valid;size_band=buyuk;100;0.9;0.93;733.559;0.72
valid;size_band=kucuk;488;0.9;0.9242;64.877;0.9
valid;size_band=mikro;384;0.9;0.9036;14.438;0.976
valid;size_band=orta;228;0.9;0.9035;189.089;0.739
valid;sector=elektronik;118;0.9;0.9153;116.706;0.787
valid;sector=ev_temizlik;90;0.9;0.9667;44.262;0.87
valid;sector=gida_icecek;320;0.9;0.9187;28.383;0.843
valid;sector=ilac;108;0.9;0.9074;43.72;0.826
valid;sector=kimya_boya;116;0.9;0.9052;61.444;0.871
valid;sector=kozmetik;124;0.9;0.9194;79.394;0.889
valid;sector=otomotiv_yan_sanayi;138;0.9;0.8768;52.37;0.99
valid;sector=tekstil;186;0.9;0.914;58.686;1.021
test;tumu;1200;0.9;0.8792;54.061;0.867
test;size_band=buyuk;100;0.9;0.89;759.461;0.726
test;size_band=kucuk;488;0.9;0.8607;61.334;0.868
test;size_band=mikro;384;0.9;0.9089;14.778;0.962
test;size_band=orta;228;0.9;0.864;191.898;0.75
test;sector=elektronik;118;0.9;0.8983;111.128;0.827
test;sector=ev_temizlik;90;0.9;0.9444;52.759;0.871
test;sector=gida_icecek;320;0.9;0.9031;31.658;0.789
test;sector=ilac;108;0.9;0.8519;48.019;0.848
test;sector=kimya_boya;116;0.9;0.8966;69.137;0.826
test;sector=kozmetik;124;0.9;0.8952;66.972;0.867
test;sector=otomotiv_yan_sanayi;138;0.9;0.8406;57.478;0.992
test;sector=tekstil;186;0.9;0.8172;49.381;1.043
