model;bolum;n;pozitif;prevalans;PR_AUC;ROC_AUC_ek_gosterge;Precision@25;Recall@25;Lift@25;Precision@50;Recall@50;Lift@50;Precision@100;Recall@100;Lift@100;Precision@200;Recall@200;Lift@200;Precision@100_CI_alt;Precision@100_CI_ust
GUS-DEDEKTIV (fusion);test;1200;97;0.0808;0.3277;0.6742;0.68;0.1753;8.412;0.5;0.2577;6.186;0.36;0.3711;4.454;0.205;0.4227;2.536;0.26;0.45
politika agirlikli birlestirme;test;1200;97;0.0808;0.1704;0.6504;0.2;0.0515;2.474;0.22;0.1134;2.722;0.29;0.299;3.588;0.21;0.433;2.598;0.2;0.37
bl_zscore_hist;test;1200;97;0.0808;0.1592;0.6604;0.2;0.0515;2.474;0.18;0.0928;2.227;0.19;0.1959;2.351;0.16;0.3299;1.979;0.12;0.27
bl_naive_8signal;test;1200;97;0.0808;0.1587;0.6295;0.28;0.0722;3.464;0.24;0.1237;2.969;0.21;0.2165;2.598;0.165;0.3402;2.041;0.13;0.3
bl_bom_gap;test;1200;97;0.0808;0.1438;0.6162;0.28;0.0722;3.464;0.26;0.134;3.216;0.19;0.1959;2.351;0.15;0.3093;1.856;0.11;0.27
bl_expert_rule;test;1200;97;0.0808;0.1227;0.6158;0.12;0.0309;1.485;0.08;0.0412;0.99;0.18;0.1856;2.227;0.13;0.268;1.608;0.11;0.26
bl_random;test;1200;97;0.0808;0.0804;0.4972;0.04;0.0103;0.495;0.04;0.0206;0.495;0.07;0.0722;0.866;0.09;0.1856;1.113;0.02;0.12
bl_peer;test;1200;97;0.0808;0.0774;0.4858;0.04;0.0103;0.495;0.1;0.0515;1.237;0.07;0.0722;0.866;0.06;0.1237;0.742;0.02;0.12
GUS-DEDEKTIV (fusion);valid;1200;92;0.0767;0.2958;0.7504;0.52;0.1413;6.783;0.46;0.25;6.0;0.37;0.4022;4.826;0.26;0.5652;3.391;0.26;0.46
bl_zscore_hist;valid;1200;92;0.0767;0.1885;0.6584;0.32;0.087;4.174;0.28;0.1522;3.652;0.19;0.2065;2.478;0.165;0.3587;2.152;0.12;0.28
bl_naive_8signal;valid;1200;92;0.0767;0.1696;0.6381;0.36;0.0978;4.696;0.22;0.1196;2.87;0.17;0.1848;2.217;0.145;0.3152;1.891;0.1;0.26
bl_bom_gap;valid;1200;92;0.0767;0.1476;0.5992;0.28;0.0761;3.652;0.22;0.1196;2.87;0.14;0.1522;1.826;0.12;0.2609;1.565;0.08;0.22
bl_expert_rule;valid;1200;92;0.0767;0.1322;0.6381;0.16;0.0435;2.087;0.2;0.1087;2.609;0.18;0.1957;2.348;0.145;0.3152;1.891;0.1;0.25
bl_peer;valid;1200;92;0.0767;0.0885;0.5494;0.08;0.0217;1.043;0.08;0.0435;1.043;0.11;0.1196;1.435;0.09;0.1957;1.174;0.06;0.18
bl_random;valid;1200;92;0.0767;0.0823;0.5135;0.04;0.0109;0.522;0.04;0.0217;0.522;0.09;0.0978;1.174;0.08;0.1739;1.043;0.04;0.15
