cikarilan;ad;PR_AUC;Precision@100;delta_PR_AUC;delta_Precision@100
-;-;0.2736;0.32;0.0;0.0
S1;Tarihsel alt sinir ihlali;0.2783;0.35;0.0047;0.03
S2;Emsal alt sinir ihlali;0.2667;0.32;-0.0069;0.0
S3;Beklenen-gerceklesen tonaj farki;0.2309;0.26;-0.0427;-0.06
S4;Faaliyet esnekligi uyumsuzlugu;0.2658;0.31;-0.0078;-0.01
S5;Dis ticaret ve duzeltme dengesi;0.2864;0.33;0.0128;0.01
S6;Donemsel davranis kirilmasi;0.2782;0.32;0.0046;0.0
S7;Urun agaci / ambalaj matrisi uyumsuzlugu;0.2835;0.32;0.0099;0.0
S8;Dis dogrulama kaniti;0.2831;0.34;0.0095;0.02
konformal aralik;konformal aralik;0.2578;0.29;-0.0158;-0.03
