boyut;grup;n;pozitif;prevalans;PR_AUC;ROC_AUC;Top100_payi;ortalama_puan
sector;elektronik;118;11;0.0932;0.526;0.7889;0.0678;37.9866
sector;ev_temizlik;90;10;0.1111;0.3807;0.6456;0.0667;34.1536
sector;gida_icecek;320;18;0.0563;0.1939;0.5846;0.0531;35.3122
sector;ilac;108;18;0.1667;0.4718;0.725;0.1389;50.9753
sector;kimya_boya;116;13;0.1121;0.399;0.6889;0.1121;36.5933
sector;kozmetik;124;5;0.0403;0.1759;0.7697;0.0645;42.0343
sector;otomotiv_yan_sanayi;138;14;0.1014;0.3149;0.5887;0.058;32.4618
sector;tekstil;186;8;0.043;0.131;0.7511;0.1344;50.687
size_band;buyuk;100;8;0.08;0.3944;0.8037;0.08;38.8127
size_band;kucuk;488;39;0.0799;0.195;0.5994;0.0758;37.3191
size_band;mikro;384;33;0.0859;0.3278;0.7132;0.0859;41.98
size_band;orta;228;17;0.0746;0.416;0.6621;0.0965;41.7228
f_data_confidence_level;dusuk;65;5;0.0769;0.4271;0.6617;0.0769;37.6123
f_data_confidence_level;orta;630;51;0.081;0.2005;0.6062;0.0762;39.5547
f_data_confidence_level;yuksek;505;41;0.0812;0.3811;0.7374;0.0931;40.3204
province;Adana;52;3;0.0577;0.52;0.6463;0.0769;41.135
province;Ankara;122;9;0.0738;0.389;0.6691;0.0574;39.575
province;Antalya;48;7;0.1458;0.3869;0.6289;0.1458;42.4428
province;Balikesir;26;3;0.1154;0.6095;0.9058;0.0385;40.4632
province;Bursa;88;7;0.0795;0.3788;0.7108;0.1023;41.9285
province;Eskisehir;50;1;0.02;0.0526;0.6327;0.04;36.7369
province;Gaziantep;40;4;0.1;0.4026;0.7153;0.075;34.7375
province;Istanbul;272;26;0.0956;0.2215;0.6145;0.0882;40.9608
province;Izmir;104;5;0.0481;0.1698;0.6778;0.0865;38.0715
province;Kayseri;40;1;0.025;0.04;0.3205;0.075;41.6034
province;Kocaeli;82;4;0.0488;0.05;0.3333;0.0854;37.7899
province;Konya;52;5;0.0962;0.3869;0.7128;0.1346;42.5082
province;Manisa;30;0;0.0;;;0.0333;33.5636
province;Mersin;28;4;0.1429;0.5845;0.9323;0.0714;39.6604
province;Sakarya;34;4;0.1176;0.5219;0.7833;0.1471;43.418
province;Samsun;32;4;0.125;0.5781;0.6071;0.0938;38.4034
province;Tekirdag;44;3;0.0682;0.7067;0.8008;0.0455;37.6978
