bolum;dilim;n;tahmin_ortalama;gozlenen_oran;fark
valid;1;120;0.0295;0.025;0.0045
valid;2;120;0.0396;0.0333;0.0062
valid;3;120;0.0459;0.05;-0.0041
valid;4;120;0.0459;0.0417;0.0042
valid;5;120;0.0459;0.0417;0.0042
valid;6;120;0.0459;0.0667;-0.0208
valid;7;120;0.0465;0.0333;0.0132
valid;8;120;0.0495;0.075;-0.0255
valid;9;120;0.0785;0.1;-0.0215
valid;10;120;0.2126;0.3;-0.0874
test;1;120;0.0278;0.0667;-0.0389
test;2;120;0.0389;0.0333;0.0056
test;3;120;0.0459;0.0917;-0.0458
test;4;120;0.0459;0.0167;0.0292
test;5;120;0.0459;0.05;-0.0041
test;6;120;0.0459;0.075;-0.0291
test;7;120;0.0465;0.0167;0.0298
test;8;120;0.0497;0.0833;-0.0337
test;9;120;0.0835;0.075;0.0085
test;10;120;0.2179;0.3;-0.0821
