factor_id;malzeme_gekap;warm_malzeme_adi;faktor_deger_short_ton;faktor_deger_metrik_ton;birim;faktor_yili;cografi_kapsam;sistem_siniri;donusum_formulu;varsayim;belirsizlik;veri_sinifi;source_id;etiket
CF-001;plastik;PET;-1,04;-1,1464;MTCO2E / ton;2023 (WARM v16);ABD;Virgin girdi yerine geri donusturulmus girdi kullaniminin sera gazi azaltimi. Process energy + transportation energy + process non-energy. Orman karbonu yok.;metrik_ton_faktor = short_ton_faktor / 0,907185;Duzeltilen plastik tonajinin PET oldugu varsayilmistir. Gercekte PET/HDPE/PP/diger karisimi vardir.;YUKSEK - ABD sebekesi ve ABD geri donusum teknolojisi varsayimlari Turkiye icin gecerli olmayabilir. Turkiye ozgu faktor mevcut degildir.;official_open_foreign;SRC-008;Potential scenario - not verified impact
CF-002;plastik_hdpe_alt;HDPE;-0,76;-0,8378;MTCO2E / ton;2023 (WARM v16);ABD;Ayni;metrik_ton_faktor = short_ton_faktor / 0,907185;Duyarlilik analizi icin alt sinir faktoru;YUKSEK;official_open_foreign;SRC-008;Potential scenario - not verified impact
CF-003;plastik_karisik_alt;Mixed Plastics;-0,93;-1,0252;MTCO2E / ton;2023 (WARM v16);ABD;Ayni;metrik_ton_faktor = short_ton_faktor / 0,907185;Karisik plastik akisi icin orta senaryo faktoru;YUKSEK;official_open_foreign;SRC-008;Potential scenario - not verified impact
CF-004;metal;Steel Cans;-1,83;-2,0172;MTCO2E / ton;2023 (WARM v16);ABD;Ayni;metrik_ton_faktor = short_ton_faktor / 0,907185;Metal ambalajin celik agirlikli oldugu varsayilmistir. Aluminyum payi yuksekse azaltim cok daha buyuk olur.;COK YUKSEK - Aluminyum faktoru (-9,13) celik faktorunun yaklasik 5 kati oldugundan malzeme karisimina asiri duyarlidir.;official_open_foreign;SRC-008;Potential scenario - not verified impact
CF-005;metal_aluminyum_ust;Aluminum Cans;-9,13;-10,0641;MTCO2E / ton;2023 (WARM v16);ABD;Ayni;metrik_ton_faktor = short_ton_faktor / 0,907185;Duyarlilik analizi icin ust sinir faktoru;COK YUKSEK;official_open_foreign;SRC-008;Potential scenario - not verified impact
CF-006;cam;Glass;-0,28;-0,3086;MTCO2E / ton;2023 (WARM v16);ABD;Ayni;metrik_ton_faktor = short_ton_faktor / 0,907185;Cam icin azaltim gorece dusuktur - tasima mesafesi uzun oldugunda net fayda azalabilir.;ORTA-YUKSEK;official_open_foreign;SRC-008;Potential scenario - not verified impact
CF-007;kagit_karton;Corrugated Containers;-3,14;-3,4613;MTCO2E / ton;2023 (WARM v16);ABD;Process + transport + non-energy + ORMAN KARBON DEPOLAMASI (-3,06);metrik_ton_faktor = short_ton_faktor / 0,907185;KRITIK: Azaltimin yuzde 97 kadari (-3,06 / -3,14) ABD ormanciligina ozgu ORMAN KARBON DEPOLAMASI teriminden gelir. Turkiye icin bu terim dogrudan gecerli DEGILDIR.;COK YUKSEK - Orman karbonu haric tutuldugunda faktor -0,08 short ton seviyesine duser. Iki senaryo da raporlanmalidir.;official_open_foreign;SRC-008;Potential scenario - not verified impact
CF-008;kagit_karton_orman_karbonsuz;Corrugated Containers (orman karbonu haric);-0,08;-0,0882;MTCO2E / ton;2023 (WARM v16);ABD;Orman karbon depolamasi haric (b+c+d = -0,02 -0,05 -0,01);metrik_ton_faktor = short_ton_faktor / 0,907185;Muhafazakar alt sinir senaryosu;ORTA;derived;SRC-008;Potential scenario - not verified impact
CF-009;kompozit;Mixed Recyclables (vekil);-2,80;-3,0864;MTCO2E / ton;2023 (WARM v16);ABD;Ayni;metrik_ton_faktor = short_ton_faktor / 0,907185;KOMPOZIT icin WARM icinde dogrudan faktor YOKTUR. Mixed Recyclables VEKIL olarak kullanilmistir. Kompozit ambalajin geri donusumu pratikte daha zordur - bu vekil muhtemelen IYIMSERDIR.;COK YUKSEK - vekil faktor - ayri raporlanmali ve toplamdan cikarilabilir olmalidir.;proxy_derived;SRC-008;Potential scenario - not verified impact - PROXY
CF-010;ahsap;Dimensional Lumber;-1,66;-1,8299;MTCO2E / ton;2023 (WARM v16);ABD;Orman karbon depolamasi (-1,56) dahil;metrik_ton_faktor = short_ton_faktor / 0,907185;Ahsap ambalaj (palet/kasa) icin vekil. Ahsap ambalaj GEKAP tarifesinde ADET bazlidir - tonaja cevrim ek varsayim gerektirir.;COK YUKSEK;proxy_derived;SRC-008;Potential scenario - not verified impact - PROXY
CF-011;geri_kazanim_orani_senaryo_alt;-;-;30,0;yuzde;2023-2024;Turkiye;Duzeltilen ambalaj tonajinin fiili geri kazanima girme orani;potansiyel_geri_kazanim_ton = duzeltilen_ton x oran;Muhafazakar senaryo. Ulke geneli geri kazanim oraninin (yuzde 34,92-36,08) altinda tutulmustur.;YUKSEK - beyan duzeltmesi ile fiziksel geri kazanim arasinda dogrudan nedensellik KANITLANMAMISTIR.;assumption;SRC-007;Potential scenario - not verified impact
CF-012;geri_kazanim_orani_senaryo_orta;-;-;36,08;yuzde;2024;Turkiye;Ayni;Ayni;Ulke geneli 2024 geri kazanim orani ile ayni alinmistir.;YUKSEK;assumption;SRC-007;Potential scenario - not verified impact
CF-013;geri_kazanim_orani_senaryo_ust;-;-;45,0;yuzde;-;Turkiye;Ayni;Ayni;Iyimser senaryo ust siniri. Herhangi bir resmi hedefe DAYANMAZ - yalnizca duyarlilik araligi tanimlamak icindir.;COK YUKSEK;assumption;-;Potential scenario - not verified impact
CF-014;short_ton_metrik_ton_donusum;-;1;0,907185;ton;-;-;Birim donusumu;1 short ton = 0,907185 metrik ton;Standart birim donusumu;YOK;derived;-;-
