rate_id;yil;yururluk_baslangic;yururluk_bitis;ana_kategori;alt_kategori;birim;tutar_kurus;tutar_tl;veri_sinifi;source_id;rg_tarih;rg_sayi;notlar
GR-2026-P01;2026;2026-01-01;2026-12-31;PLASTIK AMBALAJ;Icecek Ambalajlari 0,33 litreye kadar;adet;10,7;0,107;official_open;SRC-001;2025-12-30;33123;Teblig 2026/1
GR-2026-P02;2026;2026-01-01;2026-12-31;PLASTIK AMBALAJ;Icecek Ambalajlari 0,3301-0,75 litre arasi;adet;19;0,19;official_open;SRC-001;2025-12-30;33123;Teblig 2026/1
GR-2026-P03;2026;2026-01-01;2026-12-31;PLASTIK AMBALAJ;Icecek Ambalajlari 0,7501-1,5 litre arasi;adet;30;0,30;official_open;SRC-001;2025-12-30;33123;Teblig 2026/1
GR-2026-P04;2026;2026-01-01;2026-12-31;PLASTIK AMBALAJ;Icecek Ambalajlari 1,501 litre uzeri;adet;42;0,42;official_open;SRC-001;2025-12-30;33123;Teblig 2026/1
GR-2026-P05;2026;2026-01-01;2026-12-31;PLASTIK AMBALAJ;Digerleri (Poset Haric);kg;700;7,00;official_open;SRC-001;2025-12-30;33123;Modelde plastik agirlik bazli hesaplamada kullanilan tarife
GR-2026-P06;2026;2026-01-01;2026-12-31;PLASTIK POSET;Plastik poset (plastik alisveris torbalari);adet;107;1,07;official_open;SRC-001;2025-12-30;33123;Satis noktalarindan tahsil edilir - bu dataset kapsaminda modellenmemistir
GR-2026-M01;2026;2026-01-01;2026-12-31;METAL AMBALAJ;Icecek Ambalajlari;adet;30;0,30;official_open;SRC-001;2025-12-30;33123;Teblig 2026/1
GR-2026-M02;2026;2026-01-01;2026-12-31;METAL AMBALAJ;Digerleri;kg;800;8,00;official_open;SRC-001;2025-12-30;33123;Modelde metal agirlik bazli hesaplamada kullanilan tarife
GR-2026-K01;2026;2026-01-01;2026-12-31;KOMPOZIT AMBALAJ;Kagit-Karton Agirlikli Kompozit Icecek Ambalajlari 0,25 litreye kadar;adet;10,7;0,107;official_open;SRC-001;2025-12-30;33123;Teblig 2026/1
GR-2026-K02;2026;2026-01-01;2026-12-31;KOMPOZIT AMBALAJ;Kagit-Karton Agirlikli Kompozit Icecek Ambalajlari 0,2501-0,5 litre arasi;adet;19;0,19;official_open;SRC-001;2025-12-30;33123;Teblig 2026/1
GR-2026-K03;2026;2026-01-01;2026-12-31;KOMPOZIT AMBALAJ;Kagit-Karton Agirlikli Kompozit Icecek Ambalajlari 0,501 litre uzeri;adet;42;0,42;official_open;SRC-001;2025-12-30;33123;Teblig 2026/1
GR-2026-K04;2026;2026-01-01;2026-12-31;KOMPOZIT AMBALAJ;Digerleri;kg;800;8,00;official_open;SRC-001;2025-12-30;33123;Modelde kompozit agirlik bazli hesaplamada kullanilan tarife
GR-2026-KK1;2026;2026-01-01;2026-12-31;KAGIT KARTON AMBALAJ;Kagit-Karton Ambalaj;kg;330;3,30;official_open;SRC-001;2025-12-30;33123;Teblig 2026/1
GR-2026-C01;2026;2026-01-01;2026-12-31;CAM AMBALAJ;Icecek Ambalajlari 0,25 litreye kadar;adet;10,7;0,107;official_open;SRC-001;2025-12-30;33123;Teblig 2026/1
GR-2026-C02;2026;2026-01-01;2026-12-31;CAM AMBALAJ;Icecek Ambalajlari 0,2501-0,5 litre arasi;adet;19;0,19;official_open;SRC-001;2025-12-30;33123;Teblig 2026/1
GR-2026-C03;2026;2026-01-01;2026-12-31;CAM AMBALAJ;Icecek Ambalajlari 0,501-1 litre arasi;adet;30;0,30;official_open;SRC-001;2025-12-30;33123;Teblig 2026/1
GR-2026-C04;2026;2026-01-01;2026-12-31;CAM AMBALAJ;Icecek Ambalajlari 1,01-5 litre arasi;adet;50;0,50;official_open;SRC-001;2025-12-30;33123;Teblig 2026/1
GR-2026-C05;2026;2026-01-01;2026-12-31;CAM AMBALAJ;Icecek Ambalajlari 5,01 litre uzeri;adet;107;1,07;official_open;SRC-001;2025-12-30;33123;Teblig 2026/1
GR-2026-C06;2026;2026-01-01;2026-12-31;CAM AMBALAJ;Digerleri;kg;330;3,30;official_open;SRC-001;2025-12-30;33123;Modelde cam agirlik bazli hesaplamada kullanilan tarife
GR-2026-A01;2026;2026-01-01;2026-12-31;AHSAP AMBALAJ;Ahsap Ambalaj;adet;170;1,70;official_open;SRC-001;2025-12-30;33123;DIKKAT: Ahsap ambalaj tarifesi ADET bazlidir, kg bazli DEGILDIR
GR-2025-P01;2025;2025-01-01;2025-12-31;PLASTIK AMBALAJ;Icecek Ambalajlari 0,33 litreye kadar;adet;8,6;0,086;official_open;SRC-002;2024-12-28;32766;Teblig 2025/1
GR-2025-P02;2025;2025-01-01;2025-12-31;PLASTIK AMBALAJ;Icecek Ambalajlari 0,3301-0,75 litre arasi;adet;15,8;0,158;official_open;SRC-002;2024-12-28;32766;Teblig 2025/1
GR-2025-P03;2025;2025-01-01;2025-12-31;PLASTIK AMBALAJ;Icecek Ambalajlari 0,7501-1,5 litre arasi;adet;25;0,25;official_open;SRC-002;2024-12-28;32766;Teblig 2025/1
GR-2025-P04;2025;2025-01-01;2025-12-31;PLASTIK AMBALAJ;Icecek Ambalajlari 1,501 litre uzeri;adet;34;0,34;official_open;SRC-002;2024-12-28;32766;Teblig 2025/1
GR-2025-P05;2025;2025-01-01;2025-12-31;PLASTIK AMBALAJ;Digerleri (Poset Haric);kg;570;5,70;official_open;SRC-002;2024-12-28;32766;Modelde plastik agirlik bazli hesaplamada kullanilan tarife
GR-2025-P06;2025;2025-01-01;2025-12-31;PLASTIK POSET;Plastik poset (plastik alisveris torbalari);adet;86;0,86;official_open;SRC-002;2024-12-28;32766;Bu dataset kapsaminda modellenmemistir
GR-2025-M01;2025;2025-01-01;2025-12-31;METAL AMBALAJ;Icecek Ambalajlari;adet;25;0,25;official_open;SRC-002;2024-12-28;32766;Teblig 2025/1
GR-2025-M02;2025;2025-01-01;2025-12-31;METAL AMBALAJ;Digerleri;kg;670;6,70;official_open;SRC-002;2024-12-28;32766;Modelde metal agirlik bazli hesaplamada kullanilan tarife
GR-2025-K01;2025;2025-01-01;2025-12-31;KOMPOZIT AMBALAJ;Kagit-Karton Agirlikli Kompozit Icecek Ambalajlari 0,25 litreye kadar;adet;8,6;0,086;official_open;SRC-002;2024-12-28;32766;Teblig 2025/1
GR-2025-K02;2025;2025-01-01;2025-12-31;KOMPOZIT AMBALAJ;Kagit-Karton Agirlikli Kompozit Icecek Ambalajlari 0,2501-0,5 litre arasi;adet;15,8;0,158;official_open;SRC-002;2024-12-28;32766;Teblig 2025/1
GR-2025-K03;2025;2025-01-01;2025-12-31;KOMPOZIT AMBALAJ;Kagit-Karton Agirlikli Kompozit Icecek Ambalajlari 0,501 litre uzeri;adet;34;0,34;official_open;SRC-002;2024-12-28;32766;Teblig 2025/1
GR-2025-K04;2025;2025-01-01;2025-12-31;KOMPOZIT AMBALAJ;Digerleri;kg;670;6,70;official_open;SRC-002;2024-12-28;32766;Modelde kompozit agirlik bazli hesaplamada kullanilan tarife
GR-2025-KK1;2025;2025-01-01;2025-12-31;KAGIT KARTON AMBALAJ;Kagit-Karton Ambalaj;kg;270;2,70;official_open;SRC-002;2024-12-28;32766;Teblig 2025/1
GR-2025-C01;2025;2025-01-01;2025-12-31;CAM AMBALAJ;Icecek Ambalajlari 0,25 litreye kadar;adet;8,6;0,086;official_open;SRC-002;2024-12-28;32766;Teblig 2025/1
GR-2025-C02;2025;2025-01-01;2025-12-31;CAM AMBALAJ;Icecek Ambalajlari 0,2501-0,5 litre arasi;adet;15,8;0,158;official_open;SRC-002;2024-12-28;32766;Teblig 2025/1
GR-2025-C03;2025;2025-01-01;2025-12-31;CAM AMBALAJ;Icecek Ambalajlari 0,501-1 litre arasi;adet;25;0,25;official_open;SRC-002;2024-12-28;32766;Teblig 2025/1
GR-2025-C04;2025;2025-01-01;2025-12-31;CAM AMBALAJ;Icecek Ambalajlari 1,01-5 litre arasi;adet;40;0,40;official_open;SRC-002;2024-12-28;32766;Teblig 2025/1
GR-2025-C05;2025;2025-01-01;2025-12-31;CAM AMBALAJ;Icecek Ambalajlari 5,01 litre uzeri;adet;86;0,86;official_open;SRC-002;2024-12-28;32766;Teblig 2025/1
GR-2025-C06;2025;2025-01-01;2025-12-31;CAM AMBALAJ;Digerleri;kg;270;2,70;official_open;SRC-002;2024-12-28;32766;Modelde cam agirlik bazli hesaplamada kullanilan tarife
GR-2025-A01;2025;2025-01-01;2025-12-31;AHSAP AMBALAJ;Ahsap Ambalaj;adet;140;1,40;official_open;SRC-002;2024-12-28;32766;DIKKAT: Ahsap ambalaj tarifesi ADET bazlidir
GR-2024-P01;2024;2024-01-01;2024-12-31;PLASTIK AMBALAJ;Icecek Ambalajlari 0,33 litreye kadar;adet;6;0,06;official_open_secondary;SRC-003;2023-12-29;32414;Ikincil kaynak - capraz dogrulandi
GR-2024-P02;2024;2024-01-01;2024-12-31;PLASTIK AMBALAJ;Icecek Ambalajlari 0,3301-0,75 litre arasi;adet;11;0,11;official_open_secondary;SRC-003;2023-12-29;32414;Ikincil kaynak - capraz dogrulandi
GR-2024-P03;2024;2024-01-01;2024-12-31;PLASTIK AMBALAJ;Icecek Ambalajlari 0,7501-1,5 litre arasi;adet;18;0,18;official_open_secondary;SRC-003;2023-12-29;32414;Ikincil kaynak - capraz dogrulandi
GR-2024-P04;2024;2024-01-01;2024-12-31;PLASTIK AMBALAJ;Icecek Ambalajlari 1,501 litre uzeri;adet;24;0,24;official_open_secondary;SRC-003;2023-12-29;32414;Ikincil kaynak - capraz dogrulandi
