source_id;kurum;kaynak_turu;birincil_ikincil;baslik;kullanilan_alanlar;donem;url;erisim_tarihi;birim;lisans_kullanim_kosulu;sinirlamalar;dogrulama_durumu
SRC-001;Cevre Sehircilik ve Iklim Degisikligi Bakanligi (Resmi Gazete 30.12.2025 / 33123);Mevzuat - Teblig;Birincil;2872 Sayili Cevre Kanunu Uyarinca Alinacak Geri Kazanim Katilim Payi Tutarlarina Iliskin Teblig (2026/1);Ambalaj GEKAP birim tutarlari (plastik, metal, kompozit, kagit-karton, cam, ahsap), plastik poset tutari, yeniden degerleme orani;01.01.2026-31.12.2026;https://webdosya.csb.gov.tr/v2/cygm/2025/12/TBL-33123gekap-20261-2-20251230105416.pdf;2026-09-02;kurus/kg ve kurus/adet;Kamuya acik mevzuat metni (Resmi Gazete);Sadece 2026 takvim yili icin gecerlidir. Cumhurbaskani tutarlari iki katina cikarma veya yariya indirme yetkisine sahiptir.;PDF metni cikarilarak birebir dogrulandi
SRC-002;Cevre Sehircilik ve Iklim Degisikligi Bakanligi (Resmi Gazete 28.12.2024 / 32766);Mevzuat - Teblig;Birincil;2872 Sayili Cevre Kanunu Uyarinca Alinacak Geri Kazanim Katilim Payi Tutarlarina Iliskin Teblig (2025/1);Ambalaj GEKAP birim tutarlari 2025;01.01.2025-31.12.2025;https://webdosya.csb.gov.tr/db/cygm/icerikler/tbl-32766gekapknsld-20241231110006.pdf;2026-09-02;kurus/kg ve kurus/adet;Kamuya acik mevzuat metni (Resmi Gazete);PDF taranmis goruntu formatindadir - tablo sayfa goruntusu okunarak transkribe edilmistir.;Taranmis PDF sayfa goruntusunden birebir okundu
SRC-003;KPMG Turkiye (ikincil aktarim) - Resmi Gazete 29.12.2023 / 32414 atifli;Sirkuler / Mali bulten;Ikincil;2024 Yilinda Uygulanacak Olan Geri Kazanim Katilim Payi Tutarlari Belirlenmistir;Ambalaj GEKAP birim tutarlari 2024;01.01.2024-31.12.2024;https://kpmgvergi.com/yayinlar/mali-bultenler/gumruk/2024-yilinda-uygulanacak-olan-geri-kazanim-katilim-payi-tutarlari-belirlenmistir/2481;2026-09-02;kurus/kg ve kurus/adet;Yayincinin kullanim kosullari;IKINCIL kaynaktir. Birincil Resmi Gazete metni (32414) ile teyit edilmelidir. 2024 degerleri SRC-002 ve SRC-001 tutarlariyla yeniden degerleme orani zinciri uzerinden capraz dogrulanmistir.;Capraz aritmetik dogrulama yapildi - bkz Methodology
SRC-004;Hazine ve Maliye Bakanligi (Resmi Gazete 27.11.2025 / 33090);Mevzuat - Teblig;Birincil;Vergi Usul Kanunu Genel Tebligi (Sira No 585) - 2025 yili yeniden degerleme orani;Yeniden degerleme orani 2025 = yuzde 25,49;2025;https://webdosya.csb.gov.tr/v2/cygm/2025/12/TBL-33123gekap-20261-2-20251230105416.pdf;2026-09-02;yuzde;Kamuya acik mevzuat metni;Oran, SRC-001 teblig metni icinde atifla dogrulanmistir. Birincil VUK tebligi ayrica goruntulenmemistir.;Dogrulandi (teblig metni icinde)
SRC-005;Cevre Sehircilik ve Iklim Degisikligi Bakanligi - CED Izin ve Denetim Genel Mudurlugu;Resmi istatistik bulteni;Birincil;Atik Istatistikleri Bulteni (2023) - Bolum 6 Ambalaj Atiklari Istatistikleri Tablo 6;Malzeme turune gore beyan edilen ambalaj atigi miktarlari 2021-2022-2023 (kagit-karton, plastik, ahsap, metal, kompozit, cam);2021-2023;https://webdosya.csb.gov.tr/v2/ced/2025/12/2023-y-l-at-k-istatistik-b-lteni-005-2-20251226151737.pdf;2026-09-02;ton/yil;Kamuya acik resmi istatistik;ONEMLI: Bu rakamlar ATIK BEYAN SISTEMI uzerinden beyan edilen ambalaj ATIGIDIR - AAKY kapsaminda PIYASAYA SURULEN ambalaj miktari DEGILDIR. Iki evren farklidir ve birbirinin yerine kullanilamaz. Sanayi kaynakli ikincil ve uculuncul ambalaj agirlikli oldugu icin kagit-karton ve ahsap payi yuksektir.;PDF metni cikarilarak birebir dogrulandi
SRC-006;Cevre Sehircilik ve Iklim Degisikligi Bakanligi - Cevresel Gostergeler;Resmi gosterge sayfasi;Birincil;Ambalaj Atiklari - Cevresel Gostergeler;Uretilen ambalaj miktari ve Ambalaj Bilgi Sistemi uzerinden piyasaya surulen ambalaj miktari (2021);2021;https://cevreselgostergeler.csb.gov.tr/ambalaj-atiklari-85757;2026-09-02;ton/yil;Kamuya acik resmi gosterge;En guncel yayimlanmis ayrinti 2021 yilina aittir. 2022 verisi sayfada yalnizca grafik olarak sunulmustur. Malzeme kirilimi metin olarak alinamamistir.;Sayisal degerler dogrulandi (uretilen 9.729.057 ton / piyasaya surulen 4.046.930 ton)
SRC-007;Cevre Sehircilik ve Iklim Degisikligi Bakanligi / Sifir Atik;Resmi kurumsal haber;Birincil;Sifir Atik ile geri kazanim orani yuzde 36,08 seviyesine ulasti;Turkiye genel geri kazanim orani 2023 (yuzde 34,92) ve 2024 (yuzde 36,08);2023-2024;https://cygm.csb.gov.tr/haberler/sifir-atik-ile-geri-kazanim-orani-36-08-e-ulasti.-291288;2026-09-02;yuzde;Kamuya acik kurumsal duyuru;Bu oran TUM atiklar icin ulke geneli geri kazanim oranidir - AMBALAJ ozelinde malzeme bazli geri donusum orani DEGILDIR. Senaryo hesabinda referans olarak kullanilmis, ambalaj ozelinde ayrica duyarlilik araligi tanimlanmistir.;Dogrulandi
SRC-008;US EPA - Office of Resource Conservation and Recovery;Teknik model dokumantasyonu;Birincil;WARM Version 16 - Documentation for Greenhouse Gas Emission and Energy Factors - Chapter 2 Recycling - Exhibit 2-2;Malzeme bazli geri donusum sera gazi faktoru (virgin girdi yerine geri donusturulmus girdi kullanimindan kaynaklanan azaltim);Aralik 2023 (v16);https://www.epa.gov/system/files/documents/2024-01/warm_management_practices_v16_dec.pdf;2026-09-02;MTCO2E / short ton;US Government Work - kamu malidir;KRITIK SINIRLAMA: Faktorler ABD elektrik sebekesi, ABD ormanciligi ve ABD tasima mesafeleri icin modellenmistir ve TURKIYEYE OZGU DEGILDIR. Birim KISA TONDUR (1 short ton = 0,907185 metrik ton) ve metrik tona cevrilmelidir. Oluklu mukavvada azaltimin buyuk kismi (3,06 / 3,14) orman karbon depolamasindan gelir ve varsayima yuksek duyarlidir.;PDF metni cikarilarak Exhibit 2-2 birebir dogrulandi
SRC-009;UNFCCC;Resmi kurumsal haber;Birincil;COP31 Presidency announces new targets on global electrification cutting waste resilient cities;COP31 atik ve dongusel ekonomi hedefleri;2026;https://unfccc.int/news/cop31-presidency-announces-new-targets-on-global-electrification-cutting-waste-resilient-cities;2026-09-02;metin;UNFCCC kullanim kosullari;Sayfa icerigi otomatik cekimde bos dondu - hedeflerin sayisal detayi ikincil kaynak SRC-010 uzerinden alinmistir. BIRINCIL METIN ILE TEYIT EDILMESI GEREKEN ACIK MADDEDIR.;KISMI - birincil teyit bekliyor
SRC-010;Health Policy Watch (bagimsiz haber sitesi);Haber / analiz;Ikincil;Clean Electricity Waste And Construction Set To Top COP31 Agenda;Kuresel atik artisinin 2035 yilina kadar yariya indirilmesi hedefi ve hedeflerin resmi statusu;18 Haziran 2026 yayin;https://healthpolicy-watch.news/cop31-electricity-waste-and-construction-sector-to-top-cop31-agenda/;2026-09-02;metin;Yayincinin kullanim kosullari;IKINCIL kaynaktir. Kritik tespit: Hedefler BASKANLIK GUNDEMI niteligindedir - muzakere edilmis COP karari DEGILDIR ve ulkeler icin baglayici degildir. Taban yil ve kapsanan atik turleri tanimli degildir.;Statu bilgisi dogrulandi - sayisal hedef birincil teyit bekliyor
