series_id;gosterge;kapsam;nace_kapsam;donem;deger;birim;veri_sinifi;source_id;yontem;notlar
TUIK-SUE-001;Sanayi Uretim Endeksi;gida_icecek;C101-C109, C110;2023Q1;98,4;endeks (2021=100);official_open;SRC-016;TUIK Veri Portali SDMX API - dataflow TR,DF_SANAYI_URETIM_ENDEKS_ALT_C,1.0 (INDICATOR=II_SUE, DEGISIM_TUR=1 Endeks, SEASONAL_ADJUST=N arindirilmamis, BASE_PER=2021) - aylik seri ceyreklik ortalamaya donusturulmustur;Sektor endeksi, karsilik gelen NACE Rev.2 grup/sinif endekslerinin BASIT ORTALAMASIDIR - TUIK tarafindan yayimlanan resmi bir sektor agregasi degildir. Panelin uretim trendi ve mevsimselligi bu seriyle karsilastirilarak dogrulanir.
TUIK-SUE-002;Sanayi Uretim Endeksi;gida_icecek;C101-C109, C110;2023Q2;99,8;endeks (2021=100);official_open;SRC-016;TUIK Veri Portali SDMX API - dataflow TR,DF_SANAYI_URETIM_ENDEKS_ALT_C,1.0 (INDICATOR=II_SUE, DEGISIM_TUR=1 Endeks, SEASONAL_ADJUST=N arindirilmamis, BASE_PER=2021) - aylik seri ceyreklik ortalamaya donusturulmustur;Sektor endeksi, karsilik gelen NACE Rev.2 grup/sinif endekslerinin BASIT ORTALAMASIDIR - TUIK tarafindan yayimlanan resmi bir sektor agregasi degildir. Panelin uretim trendi ve mevsimselligi bu seriyle karsilastirilarak dogrulanir.
TUIK-SUE-003;Sanayi Uretim Endeksi;gida_icecek;C101-C109, C110;2023Q3;108,7;endeks (2021=100);official_open;SRC-016;TUIK Veri Portali SDMX API - dataflow TR,DF_SANAYI_URETIM_ENDEKS_ALT_C,1.0 (INDICATOR=II_SUE, DEGISIM_TUR=1 Endeks, SEASONAL_ADJUST=N arindirilmamis, BASE_PER=2021) - aylik seri ceyreklik ortalamaya donusturulmustur;Sektor endeksi, karsilik gelen NACE Rev.2 grup/sinif endekslerinin BASIT ORTALAMASIDIR - TUIK tarafindan yayimlanan resmi bir sektor agregasi degildir. Panelin uretim trendi ve mevsimselligi bu seriyle karsilastirilarak dogrulanir.
TUIK-SUE-004;Sanayi Uretim Endeksi;gida_icecek;C101-C109, C110;2023Q4;118,2;endeks (2021=100);official_open;SRC-016;TUIK Veri Portali SDMX API - dataflow TR,DF_SANAYI_URETIM_ENDEKS_ALT_C,1.0 (INDICATOR=II_SUE, DEGISIM_TUR=1 Endeks, SEASONAL_ADJUST=N arindirilmamis, BASE_PER=2021) - aylik seri ceyreklik ortalamaya donusturulmustur;Sektor endeksi, karsilik gelen NACE Rev.2 grup/sinif endekslerinin BASIT ORTALAMASIDIR - TUIK tarafindan yayimlanan resmi bir sektor agregasi degildir. Panelin uretim trendi ve mevsimselligi bu seriyle karsilastirilarak dogrulanir.
TUIK-SUE-005;Sanayi Uretim Endeksi;gida_icecek;C101-C109, C110;2024Q1;108,1;endeks (2021=100);official_open;SRC-016;TUIK Veri Portali SDMX API - dataflow TR,DF_SANAYI_URETIM_ENDEKS_ALT_C,1.0 (INDICATOR=II_SUE, DEGISIM_TUR=1 Endeks, SEASONAL_ADJUST=N arindirilmamis, BASE_PER=2021) - aylik seri ceyreklik ortalamaya donusturulmustur;Sektor endeksi, karsilik gelen NACE Rev.2 grup/sinif endekslerinin BASIT ORTALAMASIDIR - TUIK tarafindan yayimlanan resmi bir sektor agregasi degildir. Panelin uretim trendi ve mevsimselligi bu seriyle karsilastirilarak dogrulanir.
TUIK-SUE-006;Sanayi Uretim Endeksi;gida_icecek;C101-C109, C110;2024Q2;101,7;endeks (2021=100);official_open;SRC-016;TUIK Veri Portali SDMX API - dataflow TR,DF_SANAYI_URETIM_ENDEKS_ALT_C,1.0 (INDICATOR=II_SUE, DEGISIM_TUR=1 Endeks, SEASONAL_ADJUST=N arindirilmamis, BASE_PER=2021) - aylik seri ceyreklik ortalamaya donusturulmustur;Sektor endeksi, karsilik gelen NACE Rev.2 grup/sinif endekslerinin BASIT ORTALAMASIDIR - TUIK tarafindan yayimlanan resmi bir sektor agregasi degildir. Panelin uretim trendi ve mevsimselligi bu seriyle karsilastirilarak dogrulanir.
TUIK-SUE-007;Sanayi Uretim Endeksi;gida_icecek;C101-C109, C110;2024Q3;109,2;endeks (2021=100);official_open;SRC-016;TUIK Veri Portali SDMX API - dataflow TR,DF_SANAYI_URETIM_ENDEKS_ALT_C,1.0 (INDICATOR=II_SUE, DEGISIM_TUR=1 Endeks, SEASONAL_ADJUST=N arindirilmamis, BASE_PER=2021) - aylik seri ceyreklik ortalamaya donusturulmustur;Sektor endeksi, karsilik gelen NACE Rev.2 grup/sinif endekslerinin BASIT ORTALAMASIDIR - TUIK tarafindan yayimlanan resmi bir sektor agregasi degildir. Panelin uretim trendi ve mevsimselligi bu seriyle karsilastirilarak dogrulanir.
TUIK-SUE-008;Sanayi Uretim Endeksi;gida_icecek;C101-C109, C110;2024Q4;119,5;endeks (2021=100);official_open;SRC-016;TUIK Veri Portali SDMX API - dataflow TR,DF_SANAYI_URETIM_ENDEKS_ALT_C,1.0 (INDICATOR=II_SUE, DEGISIM_TUR=1 Endeks, SEASONAL_ADJUST=N arindirilmamis, BASE_PER=2021) - aylik seri ceyreklik ortalamaya donusturulmustur;Sektor endeksi, karsilik gelen NACE Rev.2 grup/sinif endekslerinin BASIT ORTALAMASIDIR - TUIK tarafindan yayimlanan resmi bir sektor agregasi degildir. Panelin uretim trendi ve mevsimselligi bu seriyle karsilastirilarak dogrulanir.
TUIK-SUE-009;Sanayi Uretim Endeksi;gida_icecek;C101-C109, C110;2025Q1;108,8;endeks (2021=100);official_open;SRC-016;TUIK Veri Portali SDMX API - dataflow TR,DF_SANAYI_URETIM_ENDEKS_ALT_C,1.0 (INDICATOR=II_SUE, DEGISIM_TUR=1 Endeks, SEASONAL_ADJUST=N arindirilmamis, BASE_PER=2021) - aylik seri ceyreklik ortalamaya donusturulmustur;Sektor endeksi, karsilik gelen NACE Rev.2 grup/sinif endekslerinin BASIT ORTALAMASIDIR - TUIK tarafindan yayimlanan resmi bir sektor agregasi degildir. Panelin uretim trendi ve mevsimselligi bu seriyle karsilastirilarak dogrulanir.
TUIK-SUE-010;Sanayi Uretim Endeksi;gida_icecek;C101-C109, C110;2025Q2;108,2;endeks (2021=100);official_open;SRC-016;TUIK Veri Portali SDMX API - dataflow TR,DF_SANAYI_URETIM_ENDEKS_ALT_C,1.0 (INDICATOR=II_SUE, DEGISIM_TUR=1 Endeks, SEASONAL_ADJUST=N arindirilmamis, BASE_PER=2021) - aylik seri ceyreklik ortalamaya donusturulmustur;Sektor endeksi, karsilik gelen NACE Rev.2 grup/sinif endekslerinin BASIT ORTALAMASIDIR - TUIK tarafindan yayimlanan resmi bir sektor agregasi degildir. Panelin uretim trendi ve mevsimselligi bu seriyle karsilastirilarak dogrulanir.
