observation_id;firm_id;period;split;truth_anomaly_flag;anomaly_type;anomaly_type_aciklama;legitimate_cause;true_expected_tonnage;true_deficit_ratio;true_gap_tonnage;confirmed_correction_tonnage;audit_outcome;audit_cost_try;inspection_duration_days;label_confidence;generation_source;warning
SYN-FRM-000001-2023Q1;SYN-FRM-000001;2023Q1;history;0;N00_normal;Normal kayit;;101.7527;0.0;15.1043;0.0;bulgu_yok;40725.46;14;yuksek;anomalies.inject_anomalies + anomalies.build_audit_labels;SENTETIK ETIKET - gercek denetim sonucu degildir
SYN-FRM-000001-2023Q2;SYN-FRM-000001;2023Q2;history;0;N00_normal;Normal kayit;;121.6663;0.0;0.0;0.0;bulgu_yok;32661.05;6;yuksek;anomalies.inject_anomalies + anomalies.build_audit_labels;SENTETIK ETIKET - gercek denetim sonucu degildir
SYN-FRM-000001-2023Q3;SYN-FRM-000001;2023Q3;history;0;N00_normal;Normal kayit;;88.3384;0.0;24.0886;0.0;bulgu_yok;30201.97;13;yuksek;anomalies.inject_anomalies + anomalies.build_audit_labels;SENTETIK ETIKET - gercek denetim sonucu degildir
SYN-FRM-000001-2023Q4;SYN-FRM-000001;2023Q4;history;0;N10_mesru_gorunum;Mesru nedenle riskli GORUNEN kayit (ihracat, muafiyet, mevsim, gec duzeltme, yeni firma);mevsimsel_uretim_duraklamasi;85.1629;0.0;15.6188;0.0;aciklandi_uygun;31515.81;6;yuksek;anomalies.inject_anomalies + anomalies.build_audit_labels;SENTETIK ETIKET - gercek denetim sonucu degildir
SYN-FRM-000001-2024Q1;SYN-FRM-000001;2024Q1;train;0;N00_normal;Normal kayit;;103.5157;0.0;9.6393;0.0;bulgu_yok;26521.12;21;yuksek;anomalies.inject_anomalies + anomalies.build_audit_labels;SENTETIK ETIKET - gercek denetim sonucu degildir
SYN-FRM-000001-2024Q2;SYN-FRM-000001;2024Q2;train;0;N00_normal;Normal kayit;;128.6127;0.0;6.0295;0.0;bulgu_yok;25290.92;9;yuksek;anomalies.inject_anomalies + anomalies.build_audit_labels;SENTETIK ETIKET - gercek denetim sonucu degildir
SYN-FRM-000001-2024Q3;SYN-FRM-000001;2024Q3;train;0;N00_normal;Normal kayit;;100.0169;0.0;7.0702;0.0;bulgu_yok;28924.04;8;yuksek;anomalies.inject_anomalies + anomalies.build_audit_labels;SENTETIK ETIKET - gercek denetim sonucu degildir
SYN-FRM-000001-2024Q4;SYN-FRM-000001;2024Q4;train;0;N00_normal;Normal kayit;;86.3991;0.0;5.9446;0.0;bulgu_yok;44652.87;14;yuksek;anomalies.inject_anomalies + anomalies.build_audit_labels;SENTETIK ETIKET - gercek denetim sonucu degildir
SYN-FRM-000001-2025Q1;SYN-FRM-000001;2025Q1;train;0;N10_mesru_gorunum;Mesru nedenle riskli GORUNEN kayit (ihracat, muafiyet, mevsim, gec duzeltme, yeni firma);urun_gami_degisikligi;71.7591;0.0;8.3088;0.0;aciklandi_uygun;56599.59;8;yuksek;anomalies.inject_anomalies + anomalies.build_audit_labels;SENTETIK ETIKET - gercek denetim sonucu degildir
SYN-FRM-000001-2025Q2;SYN-FRM-000001;2025Q2;train;0;N00_normal;Normal kayit;;98.3534;0.0;9.1585;0.0;bulgu_yok;23578.52;12;yuksek;anomalies.inject_anomalies + anomalies.build_audit_labels;SENTETIK ETIKET - gercek denetim sonucu degildir
SYN-FRM-000001-2025Q3;SYN-FRM-000001;2025Q3;valid;0;N10_mesru_gorunum;Mesru nedenle riskli GORUNEN kayit (ihracat, muafiyet, mevsim, gec duzeltme, yeni firma);urun_gami_degisikligi;55.3639;0.0;5.3329;0.0;aciklandi_uygun;32114.75;7;yuksek;anomalies.inject_anomalies + anomalies.build_audit_labels;SENTETIK ETIKET - gercek denetim sonucu degildir
SYN-FRM-000001-2025Q4;SYN-FRM-000001;2025Q4;valid;0;N10_mesru_gorunum;Mesru nedenle riskli GORUNEN kayit (ihracat, muafiyet, mevsim, gec duzeltme, yeni firma);urun_gami_degisikligi;38.9328;0.0;2.1533;0.0;aciklandi_uygun;28913.38;10;yuksek;anomalies.inject_anomalies + anomalies.build_audit_labels;SENTETIK ETIKET - gercek denetim sonucu degildir
SYN-FRM-000001-2026Q1;SYN-FRM-000001;2026Q1;test;0;N00_normal;Normal kayit;;67.2138;0.0;0.0;0.0;bulgu_yok;36809.46;12;yuksek;anomalies.inject_anomalies + anomalies.build_audit_labels;SENTETIK ETIKET - gercek denetim sonucu degildir
SYN-FRM-000001-2026Q2;SYN-FRM-000001;2026Q2;test;0;N00_normal;Normal kayit;;112.1663;0.0;0.0;0.0;bulgu_yok;26338.38;12;yuksek;anomalies.inject_anomalies + anomalies.build_audit_labels;SENTETIK ETIKET - gercek denetim sonucu degildir
SYN-FRM-000002-2023Q1;SYN-FRM-000002;2023Q1;history;0;N00_normal;Normal kayit;;47.198;0.0;0.0;0.0;bulgu_yok;36234.47;13;yuksek;anomalies.inject_anomalies + anomalies.build_audit_labels;SENTETIK ETIKET - gercek denetim sonucu degildir
SYN-FRM-000002-2023Q2;SYN-FRM-000002;2023Q2;history;0;N00_normal;Normal kayit;;57.9092;0.0;4.8173;0.0;bulgu_yok;34039.44;10;yuksek;anomalies.inject_anomalies + anomalies.build_audit_labels;SENTETIK ETIKET - gercek denetim sonucu degildir
SYN-FRM-000002-2023Q3;SYN-FRM-000002;2023Q3;history;0;N00_normal;Normal kayit;;44.6803;0.0;1.4142;0.0;bulgu_yok;30103.96;7;yuksek;anomalies.inject_anomalies + anomalies.build_audit_labels;SENTETIK ETIKET - gercek denetim sonucu degildir
SYN-FRM-000002-2023Q4;SYN-FRM-000002;2023Q4;history;0;N10_mesru_gorunum;Mesru nedenle riskli GORUNEN kayit (ihracat, muafiyet, mevsim, gec duzeltme, yeni firma);mevsimsel_uretim_duraklamasi;33.3643;0.0;7.0045;0.0;aciklandi_uygun;40315.8;7;yuksek;anomalies.inject_anomalies + anomalies.build_audit_labels;SENTETIK ETIKET - gercek denetim sonucu degildir
