blok;gosterge;deger;birim;kaynak_hesap;etiket
DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur);Analiz edilen firma sayisi;600.0;adet;Firms tablosu;DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur)
DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur);Analiz edilen beyan (firma-ceyrek) sayisi;8244.0;adet;Observations tablosu;DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur)
DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur);Test doneminde onceliklendirilebilir dosya sayisi;1200.0;adet;split = test;DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur)
DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur);Test donemi gercek eksik beyan sayisi (ground truth);97.0;adet;Audit_Labels;DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur)
DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur);Test donemi prevalans;0.0808;oran;Audit_Labels;DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur)
DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur);Dogrulanmis duzeltilen ambalaj tonaji (test);2936.03;ton;Audit_Labels;DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur)
DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur);Beyan edilen tonaj - plastik (test);4960.25;ton;Observations;DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur)
DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur);Beyan edilen tonaj - kagit_karton (test);9389.21;ton;Observations;DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur)
DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur);Beyan edilen tonaj - cam (test);3747.95;ton;Observations;DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur)
DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur);Beyan edilen tonaj - metal (test);3422.45;ton;Observations;DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur)
DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur);Beyan edilen tonaj - kompozit (test);2555.95;ton;Observations;DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur)
DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur);Beyan edilen tonaj - ahsap (test);405856.17;ton;Observations;DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur)
DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur);Test donemi hesaplanan GEKAP tutari (beyan uzerinden);125901695.98;TL;Observations x GEKAP_Rates (2026 tarifesi, SRC-001);DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur)
DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur);Ortalama inceleme suresi;12.2;gun;Audit_Labels;DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur)
DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur);Kapsanan sektor sayisi;8.0;adet;Firms;DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur)
DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur);Kapsanan il sayisi;20.0;adet;Firms;DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur)
DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur);Dusuk veri guvenli kayit orani (test);0.0542;oran;Observations;DOGRULANABILIR (sentetik veri uzerinde dogrudan olculur)
SENARYO (Potential scenario - not verified impact);Potansiyel geri kazanim tonaji - muhafazakar senaryo;880.809;ton;potansiyel_CO2e = duzeltme_ton x geri_kazanim_orani x malzeme_payi x faktor(MTCO2E/metrik ton);SENARYO (Potential scenario - not verified impact)
SENARYO (Potential scenario - not verified impact);Potansiyel CO2e etkisi - muhafazakar senaryo;-1564.419;ton CO2e;US EPA WARM v16 Exhibit 2-2 (SRC-008);SENARYO (Potential scenario - not verified impact)
SENARYO (Potential scenario - not verified impact);Potansiyel geri kazanim tonaji - orta senaryo;1059.319;ton;potansiyel_CO2e = duzeltme_ton x geri_kazanim_orani x malzeme_payi x faktor(MTCO2E/metrik ton);SENARYO (Potential scenario - not verified impact)
SENARYO (Potential scenario - not verified impact);Potansiyel CO2e etkisi - orta senaryo;-1963.28;ton CO2e;US EPA WARM v16 Exhibit 2-2 (SRC-008);SENARYO (Potential scenario - not verified impact)
SENARYO (Potential scenario - not verified impact);Potansiyel geri kazanim tonaji - iyimser senaryo;1321.213;ton;potansiyel_CO2e = duzeltme_ton x geri_kazanim_orani x malzeme_payi x faktor(MTCO2E/metrik ton);SENARYO (Potential scenario - not verified impact)
SENARYO (Potential scenario - not verified impact);Potansiyel CO2e etkisi - iyimser senaryo;-2448.659;ton CO2e;US EPA WARM v16 Exhibit 2-2 (SRC-008);SENARYO (Potential scenario - not verified impact)
