firm_id;is_synthetic;province;sector;nace_code;size_band;employee_band;operating_since;main_product_group;primary_packaging_material;export_orientation;import_dependency;data_maturity_score;bom_coverage_ratio;bom_matrix_vintage_year;sector_code_error_flag;data_source_type;generation_method;source_ids
SYN-FRM-000001;True;Izmir;gida_icecek;C10-C11;kucuk;10-49;1995;Gida ve icecek urunleri;plastik;0.2582;0.3135;0.5743;0.5063;2025;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000002;True;Hatay;gida_icecek;C10-C11;kucuk;10-49;2019;Gida ve icecek urunleri;plastik;0.2268;0.1212;0.5444;0.7902;2025;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000003;True;Kayseri;tekstil;C13-C14;kucuk;10-49;2019;Tekstil ve hazir giyim;ahsap;0.6111;0.2516;0.5589;0.7444;2023;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000004;True;Istanbul;kimya_boya;C20.3;mikro;1-9;2000;Kimyasal urunler ve boya;ahsap;0.2012;0.551;0.6063;0.3638;2024;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000005;True;Bursa;ev_temizlik;C20.41;mikro;1-9;2006;Ev temizlik urunleri;plastik;0.5594;0.0205;0.2915;0.5228;2023;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000006;True;Samsun;gida_icecek;C10-C11;kucuk;10-49;2018;Gida ve icecek urunleri;cam;0.3369;0.1068;0.3598;0.1083;2025;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000007;True;Ankara;gida_icecek;C10-C11;buyuk;250-5000;2012;Gida ve icecek urunleri;plastik;0.3013;0.0128;0.8139;0.6126;2020;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000008;True;Gaziantep;otomotiv_yan_sanayi;C29.3;mikro;1-9;1991;Otomotiv yan sanayi parcalari;kagit_karton;0.2895;0.3562;0.1093;0.3268;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000009;True;Istanbul;gida_icecek;C10-C11;kucuk;10-49;2009;Gida ve icecek urunleri;kagit_karton;0.6884;0.1813;0.5223;0.4278;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000010;True;Samsun;ev_temizlik;C20.41;kucuk;10-49;1998;Ev temizlik urunleri;plastik;0.5522;0.1455;0.1727;0.4004;2021;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000011;True;Istanbul;elektronik;C26-C27;mikro;1-9;1993;Elektrikli ve elektronik esya;kagit_karton;0.494;0.561;0.2772;0.1838;2024;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000012;True;Sakarya;ilac;C21;orta;50-249;2003;Ilac ve tibbi urunler;kagit_karton;0.1394;0.3757;0.9506;0.7016;2023;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000013;True;Hatay;kimya_boya;C20.3;orta;50-249;2021;Kimyasal urunler ve boya;ahsap;0.3541;0.7551;0.527;0.6782;2023;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000014;True;Tekirdag;otomotiv_yan_sanayi;C29.3;mikro;1-9;2003;Otomotiv yan sanayi parcalari;kagit_karton;0.3807;0.3746;0.3552;0.6665;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000015;True;Bursa;tekstil;C13-C14;orta;50-249;1988;Tekstil ve hazir giyim;kagit_karton;0.7822;0.3941;0.469;0.1835;2025;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000016;True;Ankara;ilac;C21;mikro;1-9;1987;Ilac ve tibbi urunler;plastik;0.1718;0.309;0.0876;0.4335;2024;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000017;True;Kocaeli;otomotiv_yan_sanayi;C29.3;kucuk;10-49;1988;Otomotiv yan sanayi parcalari;plastik;0.8972;0.1957;0.5515;0.7713;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000018;True;Istanbul;tekstil;C13-C14;buyuk;250-5000;2022;Tekstil ve hazir giyim;kagit_karton;0.777;0.5448;0.7191;0.5243;2024;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000019;True;Istanbul;ilac;C21;mikro;1-9;2007;Ilac ve tibbi urunler;kagit_karton;0.3666;0.346;0.3639;0.5524;2019;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
