observation_id;firm_id;period;year;quarter;split;sector;size_band;province;f_s2_peer_group;declared_packaging_tonnage;production_qty;f_s1_decl_lag1;f_s1_decl_lag2;f_s1_decl_lag3;f_s1_decl_lag4;f_s1_decl_qoq;f_s1_decl_yoy;f_s1_hist_median;f_s1_hist_std;f_s1_hist_p10;f_s1_hist_n;f_s1_z_own;f_s1_vs_hist_median_ratio;f_s1_below_hist_p10;f_s1_history_len;f_ratio_decl_per_prod;f_s1_ratio_hist_median;f_s1_ratio_hist_std;f_s1_ratio_z_own;f_s2_peer_median_prev;f_s2_peer_p10_prev;f_s2_peer_iqr_prev;f_s2_peer_n_prev;f_s2_vs_peer_median;f_s2_peer_z;f_s2_below_peer_p10;f_s3_bom_expected;f_s3_bom_gap_abs;f_s3_bom_gap_rel;f_s3_bom_coverage;f_s4_prod_lag1;f_s4_prod_lag4;f_s4_prod_qoq;f_s4_prod_yoy;f_s4_divergence_qoq;f_s4_divergence_yoy;f_s4_elasticity;f_s5_export_share;f_s5_import_share;f_s5_return_share;f_s5_domestic_derived;f_s5_decl_per_domestic;f_s5_export_share_lag1;f_s5_export_share_delta;f_s5_exemption_flag;f_s5_exempt_share;f_s5_correction_qty;f_s5_trade_data_missing;f_s5_dpd_hist_median;f_s5_dpd_hist_std;f_s5_dpd_vs_hist;f_s5_dpd_z_own;f_s2_dpd_vs_peer_median;f_s2_dpd_below_peer_p10;f_s6_quarter;f_s6_own_quarter_mean_prev;f_s6_seasonal_resid;f_s7_matrix_age_years;f_s7_matrix_stale_flag;f_s7_material_mix_entropy;f_s7_mix_plastik;f_s7_mix_kagit_karton;f_s7_mix_cam;f_s7_mix_metal;f_s7_mix_kompozit;f_s7_mix_ahsap;f_s7_mix_shift_l1;f_s8_external_available;f_s8_external_gap_abs;f_s8_external_gap_rel;f_avail_s1;f_avail_s2;f_avail_s3;f_avail_s4;f_avail_s5;f_avail_s6;f_avail_s7;f_avail_s8;f_active_signal_count;f_data_quality_score;f_data_freshness_days;f_missing_field_count;f_data_confidence_level;f_firm_age_years
SYN-FRM-000001-2023Q1;SYN-FRM-000001;2023Q1;2023;1;history;gida_icecek;kucuk;Izmir;gida_icecek|kucuk;86.6484;63620.3;;;;;;;;;;0.0;;;0;0.0;0.0013619615122846009;;;;;;;;;;0;50.8916;-35.7568;-0.7026071100142264;0.5063;;;;;;;;0.26503858585452333;0.2852710929694801;0.00790781680782365;64717.36;0.00133887414443358;;;0;0.0;0.0;0;;;;;;0;1;;;-2;0;0.4352341029415207;0.016803541669551888;0.01388138730778641;0.08032693044534002;1.1540894003813111e-06;1.1540894003813111e-06;0.8889858323985208;;0;;;0;0;1;0;1;0;1;0;3;0.7266;130;1;yuksek;28
SYN-FRM-000001-2023Q2;SYN-FRM-000001;2023Q2;2023;2;history;gida_icecek;kucuk;Izmir;gida_icecek|kucuk;130.602;78444.54;86.6484;;;;0.5072638386860001;;;;;1.0;;;0;1.0;0.0016648959889368974;;;;0.0009625614441063908;5.91612539079436e-05;0.003038684048321887;58.0;1.7296516488695743;0.23113115205852705;0;60.8514;-69.7506;-1.146244786479851;0.5063;63620.3;;0.2330111615317751;;0.274252677154225;;2.176993734340172;0.24230010781323433;0.2771487546189217;0.03171349324093954;78784.76;0.0016577063889005946;0.26503858585452333;-0.022738478041289006;0;0.0;0.0;0;;;;;1.0798689151324818;0;2;0.0013619615122846009;0.2224251375093147;-2;0;0.4526631418392781;7.656850584217699e-07;0.016666666666666666;0.08219552533651858;7.656850584217699e-07;0.017223319704139293;0.8839129569225586;0.0437520797295954;0;;;0;1;1;1;1;1;1;0;6;0.7917;126;1;yuksek;28
SYN-FRM-000001-2023Q3;SYN-FRM-000001;2023Q3;2023;3;history;gida_icecek;kucuk;Izmir;gida_icecek|kucuk;64.2498;;130.602;86.6484;;;-0.5080488813341297;;108.6252;;;2.0;;0.5914815346715125;0;2.0;;0.0015134287506107492;;;0.000699630195879899;5.7264377437315817e-05;0.003387302357459249;56.0;;;0;44.1824;-20.067399999999992;-0.45419443036141066;0.5063;78444.54;;;;;;;;;;;;0.24230010781323433;;0;0.0;0.0;0;0.0014982902666670873;;;;;0;3;0.0016648959889368974;;-2;0;0.4851775797504448;0.009380559347174081;0.028803157670284314;0.07382735226047045;1.5564226559107486e-06;0.0070879487750175494;0.8808994255243978;0.04303415080666141;0;;;0;1;1;0;1;1;1;0;5;0.6122;216;2;orta;28
SYN-FRM-000001-2023Q4;SYN-FRM-000001;2023Q4;2023;4;history;gida_icecek;kucuk;Izmir;gida_icecek|kucuk;69.5441;45880.02;64.2498;130.602;86.6484;;0.0824018129239314;;86.6484;33.754581614352745;68.72952;3.0;-0.5067252853380679;0.8026010866905795;0;3.0;0.0015157818152651199;0.0015134287506107492;;;0.0007784141962840298;5.4017395363211484e-05;0.003002232020313766;57.0;1.9472689764666593;0.24560647344772077;0;42.5942;-26.9499;-0.6327129045738622;0.5063;;;;;;;;0.21755805047816634;0.32684011139118674;0.0003097297091093694;53307.16;0.0013045921035748293;;;0;0.0;0.0;0;0.0014982902666670873;;0.8707205356655389;;0.801202131498293;0;4;;;-2;0;0.5091037913284444;0.018744967215000578;0.010610548717358795;0.08306827332336364;1.4379385712642358e-06;0.014434027378350398;0.8731407454273553;0.0519028150681052;0;;;1;1;1;0;1;0;1;0;5;0.691;261;1;orta;28
SYN-FRM-000001-2024Q1;SYN-FRM-000001;2024Q1;2024;1;train;gida_icecek;kucuk;Izmir;gida_icecek|kucuk;93.8764;65799.02;69.5441;64.2498;130.602;86.6484;0.3498830238654322;0.08341758185956127;78.09625;30.11766442243655;65.83809;4.0;0.5239499908978459;1.2020602781823713;0;4.0;0.0014267142580542992;0.0015157818152651199;0.00015147333073483953;-0.5880081779329007;0.0006447018786788261;5.2249799835686236e-05;0.002649464599954522;58.0;2.2129829386848296;0.295158644274355;0;51.7733;-42.103100000000005;-0.8132203278523873;0.5063;45880.02;63620.3;0.4341541263495528;0.03424567315778142;-0.08427110248412062;0.04917190870177986;0.8058958849644309;0.20573209959974684;0.22410320382935536;0.019188520141130417;65729.7;0.0014282189025661156;0.21755805047816634;-0.011825950878419506;0;0.0;0.0;0;0.00133887414443358;0.00019473013674417954;1.066731259621369;0.45881320491193095;2.0541381573907853;0;1;0.0015157818152651199;-0.05876014365249668;-1;0;0.3660449054104186;0.0012271454806532846;0.008167121875146469;0.09329607867366026;1.0652304519559762e-06;1.0652304519559762e-06;0.897307523509636;0.06878916686515472;0;;;1;1;1;1;1;1;1;0;7;0.6617;294;1;orta;29
SYN-FRM-000001-2024Q2;SYN-FRM-000001;2024Q2;2024;2;train;gida_icecek;kucuk;Izmir;gida_icecek|kucuk;122.5832;81558.4;93.8764;69.5441;64.2498;130.602;0.30579357538209817;-0.06139875346472488;86.6484;26.225650090474407;66.36752;5.0;1.3702157954533272;1.4147197178482236;0;5.0;0.0015030113391140583;0.0014712480366597096;0.000131187367373884;0.24212165462413188;0.0006959505642477587;5.1719170504904816e-05;0.0028842028820161387;57.0;2.1596524470651706;0.2798210832873662;0;64.3256;-58.25760000000001;-0.9056674170159317;0.5063;65799.02;78444.54;0.23950782245693003;0.039695050796397055;0.06628575292516814;-0.10109380426112194;1.2767581962258794;;;0.011974119158786834;;;0.20573209959974684;;0;0.0;0.0;1;0.001383546523499848;0.00015902031698212653;;;;0;2;0.0013943378851694502;0.07793911009697721;-1;0;0.5023880019858098;0.012256165608337848;0.025394181258116936;0.08042945525977459;8.157724712684936e-07;0.0071649296151511796;0.8747544524861482;0.0708398877907084;0;;;1;1;1;1;0;1;1;0;6;0.4407;194;3;dusuk;29
SYN-FRM-000001-2024Q3;SYN-FRM-000001;2024Q3;2024;3;train;gida_icecek;kucuk;Izmir;gida_icecek|kucuk;92.9467;70133.67;122.5832;93.8764;69.5441;64.2498;-0.24176640844748706;0.4466457483136137;90.2624;27.173097914696193;66.89695;6.0;0.09878520323397653;1.0297388502853901;0;6.0;0.0013252792845433584;0.0015030113391140583;0.00011371181280723044;-1.5630043192785916;0.0006270224731319416;5.439624058257311e-05;0.0027548576505009533;55.0;2.1136073128665767;0.2534638445962692;0;50.0234;-42.923300000000005;-0.8580644258487029;0.5063;81558.4;;-0.14008035959508766;;-0.1016860488523994;;1.7259122488429515;0.2783793504693106;0.20475306680745192;0.041932708372027734;59942.4;0.0015506002428998507;;;0;0.0;0.0;0;0.001383546523499848;0.00015902031698212653;1.1207431167384385;1.0505180883193637;1.8861792252031058;0;3;0.0015839536640254778;-0.16330930970841742;-1;0;0.3626667751308054;0.0020215865419788526;0.010154195733473342;0.08570386500664898;1.075884269280922e-06;1.075884269280922e-06;0.9021182009493603;0.06527683664376899;0;;;1;1;1;1;1;1;1;0;7;0.685;360;1;orta;29
SYN-FRM-000001-2024Q4;SYN-FRM-000001;2024Q4;2024;4;train;gida_icecek;kucuk;Izmir;gida_icecek|kucuk;80.4545;54175.94;92.9467;122.5832;93.8764;69.5441;-0.13440175928785003;0.1568846242887606;92.9467;24.813249120340835;67.42638;7.0;-0.503448780101895;0.86559824071215;0;7.0;0.0014850596039496498;0.0014648627985841788;0.00012294464478750916;0.164275600619922;0.0007024520327417964;5.0974232214854716e-05;0.003160760825393301;56.0;2.1141082020265434;0.24760100951658426;0;43.2125;-37.242;-0.861833960080995;0.5063;70133.67;45880.02;-0.22753308075850012;0.1808177067054462;0.09313132147065009;-0.023933082416685597;0.5906910715567635;0.26991851516523313;0.28121051204255;0.009411965438202557;54317.64;0.0014811854859673578;0.2783793504693106;-0.008460835304077485;0;0.0;0.0;0;0.0014282189025661156;0.0001475205746524996;1.0370857599672403;0.35904539774204824;0.9802119844681416;0;4;0.0013252792845433584;0.12056350783551684;-1;0;0.442287474627698;0.003789719655208845;0.008098987626546681;0.0924373403600793;1.2429385553325172e-06;0.011922266622749506;0.8837504427968603;0.04084593251885328;1;17.946600000000004;0.1823821075170908;1;1;1;1;1;1;1;1;8;0.8258;235;0;yuksek;29
SYN-FRM-000001-2025Q1;SYN-FRM-000001;2025Q1;2025;1;train;gida_icecek;kucuk;Izmir;gida_icecek|kucuk;63.4503;47011.75;80.4545;92.9467;122.5832;93.8764;-0.21135175782585186;-0.3241080825425773;89.79755;23.492051485551904;67.95581;8.0;-1.1215389177996695;0.706592774524472;1;8.0;0.001349668965737289;0.0014850596039496498;0.00011245696371706913;-1.203932897859403;0.0006892184127524068;4.208003719704897e-05;0.002836646345700593;58.0;1.9582601694394095;0.23282794980273247;0;35.8903;-27.559999999999995;-0.7678955037990765;0.5063;54175.94;65799.02;-0.13223932985749767;-0.2855250731697828;-0.07911242796835419;-0.03858300937279446;1.5982518820505704;0.2706891951108998;0.27024943625336006;0.04771639729302267;43909.44;0.0014450263997901134;0.26991851516523313;0.0007706799456666524;0;0.0;0.0;0;0.0014547021942667368;0.00013234646905749755;0.9933486080417301;-0.07310957780384576;1.7068657277360437;0;1;0.0015004207096073847;-0.10047298261401826;0;0;0.44676385297303356;1.5760341936378654e-06;0.033106174271557;0.08412712922219562;1.5760341936378654e-06;0.0022300883839975793;0.8805334560538626;0.05001503948129721;0;;;1;1;1;1;1;1;1;0;7;0.6952;133;1;orta;30
SYN-FRM-000001-2025Q2;SYN-FRM-000001;2025Q2;2025;2;train;gida_icecek;kucuk;Izmir;gida_icecek|kucuk;89.1949;61197.8;63.4503;80.4545;92.9467;122.5832;0.4057443384822453;-0.2723725600245384;86.6484;24.028914052021673;64.0899;9.0;0.1059764912591112;1.0293888865807101;0;9.0;0.0014574853998019536;0.0014558869310019745;0.00011233272393675742;0.014229769776427953;0.000822973613819281;4.1777714588100935e-05;0.0029822855078777406;61.0;1.770998942527466;0.21276024187040532;0;49.1914;-40.0035;-0.8132214167517087;0.5063;47011.75;81558.4;0.3017554122107772;-0.24964442657040836;0.10398892627146811;-0.02272813345413005;1.344613292963347;0.2129761296481698;0.2307664267753185;0.006246602272463024;62116.18;0.00143593665933739;0.2706891951108998;-0.05771306546272997;0;0.0;0.0;0;0.0014450263997901134;0.0001209512214375103;0.9937096371014097;-0.07515211789258003;1.0878589047822154;0;2;0.0013794482453587298;0.056571281094297245;0;0;0.4261169839921799;0.002075228432087;0.02334772128482538;0.07647962329727002;0.001133471607152867;0.00365154997477437;0.8933124054038903;0.034811917823314366;0;;;1;1;1;1;1;1;1;0;7;0.8069;6;1;yuksek;30
