observation_id;firm_id;period;year;quarter;split;sector;size_band;province;nace_code;main_product_group;gtip6_context_primary;production_qty;production_unit;import_qty;export_qty;return_qty;correction_qty;exemption_flag;exempt_share;domestic_supply_qty_derived;declared_packaging_tonnage;declared_ton_plastik;declared_ton_kagit_karton;declared_ton_cam;declared_ton_metal;declared_ton_kompozit;declared_ton_ahsap;bom_expected_tonnage_observable;bom_coverage_ratio;weight_matrix_vintage_year;external_evidence_tonnage;external_evidence_source;gekap_rate_year;gekap_rate_status;gekap_amount_try;data_quality_score;data_freshness_days;missing_field_count;missing_fields;data_confidence_level;data_source_type;generation_method;source_ids
SYN-FRM-000001-2023Q1;SYN-FRM-000001;2023Q1;2023;1;history;gida_icecek;kucuk;Izmir;C10-C11;Gida ve icecek urunleri;plastik;63620.3;birim/ceyrek (sentetik urun adedi);25392.89;23591.93;703.9;0.0;False;0.0;64717.36;86.6484;1.456;1.2028;6.9602;0.0001;0.0001;77.0292;50.8916;0.5063;2025;;;2023;history_not_priced;;0.7266;130;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000001-2023Q2;SYN-FRM-000001;2023Q2;2023;2;history;gida_icecek;kucuk;Izmir;C10-C11;Gida ve icecek urunleri;plastik;78444.54;birim/ceyrek (sentetik urun adedi);30076.46;26294.65;3441.58;0.0;False;0.0;78784.76;130.602;0.0001;2.1767;10.7349;0.0001;2.2494;115.4408;60.8514;0.5063;2025;;;2023;history_not_priced;;0.7917;126;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000001-2023Q3;SYN-FRM-000001;2023Q3;2023;3;history;gida_icecek;kucuk;Izmir;C10-C11;Gida ve icecek urunleri;plastik;;birim/ceyrek (sentetik urun adedi);15987.95;19290.59;3149.92;0.0;False;0.0;;64.2498;0.6027;1.8506;4.7434;0.0001;0.4554;56.5977;44.1824;0.5063;2025;;;2023;history_not_priced;;0.6122;216;2;"production_qty;external_evidence_tonnage";orta;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000001-2023Q4;SYN-FRM-000001;2023Q4;2023;4;history;gida_icecek;kucuk;Izmir;C10-C11;Gida ve icecek urunleri;plastik;45880.02;birim/ceyrek (sentetik urun adedi);22276.18;14827.93;21.11;0.0;False;0.0;53307.16;69.5441;1.3036;0.7379;5.7769;0.0001;1.0038;60.7217;42.5942;0.5063;2025;;;2023;history_not_priced;;0.691;261;1;external_evidence_tonnage;orta;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000001-2024Q1;SYN-FRM-000001;2024Q1;2024;1;train;gida_icecek;kucuk;Izmir;C10-C11;Gida ve icecek urunleri;plastik;65799.02;birim/ceyrek (sentetik urun adedi);19004.81;17446.87;1627.26;0.0;False;0.0;65729.7;93.8764;0.1152;0.7667;8.7583;0.0001;0.0001;84.236;51.7733;0.5063;2025;;;2024;official_verified;18559.26;0.6617;294;1;external_evidence_tonnage;orta;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000001-2024Q2;SYN-FRM-000001;2024Q2;2024;2;train;gida_icecek;kucuk;Izmir;C10-C11;Gida ve icecek urunleri;plastik;81558.4;birim/ceyrek (sentetik urun adedi);;;976.59;0.0;False;0.0;;122.5832;1.5024;3.1129;9.8593;0.0001;0.8783;107.2302;64.3256;0.5063;2025;;;2024;official_verified;34785.41;0.4407;194;3;"import_qty;export_qty;external_evidence_tonnage";dusuk;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000001-2024Q3;SYN-FRM-000001;2024Q3;2024;3;train;gida_icecek;kucuk;Izmir;C10-C11;Gida ve icecek urunleri;plastik;70133.67;birim/ceyrek (sentetik urun adedi);18057.39;24550.57;3698.09;0.0;False;0.0;59942.4;92.9467;0.1879;0.9438;7.9659;0.0001;0.0001;83.849;50.0234;0.5063;2025;;;2024;official_verified;17680.7;0.685;360;1;external_evidence_tonnage;orta;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000001-2024Q4;SYN-FRM-000001;2024Q4;2024;4;train;gida_icecek;kucuk;Izmir;C10-C11;Gida ve icecek urunleri;plastik;54175.94;birim/ceyrek (sentetik urun adedi);21195.14;20344.05;709.39;0.0;False;0.0;54317.64;80.4545;0.3049;0.6516;7.437;0.0001;0.9592;71.1017;43.2125;0.5063;2025;98.4011;ERP / onceki denetim kaydi (sentetik);2024;official_verified;21096.8;0.8258;235;0;;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000001-2025Q1;SYN-FRM-000001;2025Q1;2025;1;train;gida_icecek;kucuk;Izmir;C10-C11;Gida ve icecek urunleri;plastik;47011.75;birim/ceyrek (sentetik urun adedi);17409.92;17438.25;3073.97;0.0;False;0.0;43909.44;63.4503;0.0001;2.1006;5.3379;0.0001;0.1415;55.8702;35.8903;0.5063;2025;;;2025;official_verified;21032.52;0.6952;133;1;external_evidence_tonnage;orta;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000001-2025Q2;SYN-FRM-000001;2025Q2;2025;2;train;gida_icecek;kucuk;Izmir;C10-C11;Gida ve icecek urunleri;plastik;61197.8;birim/ceyrek (sentetik urun adedi);18359.05;16943.71;496.96;0.0;False;0.0;62116.18;89.1949;0.1851;2.0825;6.8216;0.1011;0.3257;79.679;49.1914;0.5063;2025;;;2025;official_verified;27955.2;0.8069;6;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
