sku_id;firm_id;pack_spec_id;product_group;packaging_role;gekap_material;pack_format;gtip6_context;gtip6_description;gtip_note;sku_volume_share;unit_pack_weight_g_true;unit_pack_weight_g_recorded;weight_matrix_status;weight_matrix_vintage_year;weight_dist_p10_g;weight_dist_p50_g;weight_dist_p90_g;weight_distribution;data_source_type;source_ids
SYN-FRM-000001-SKU01;SYN-FRM-000001;PS-002;Ambalajli su;birincil;plastik;PET sise 1,5 L;220110;Mineral sular ve gazli sular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.085681;35.27;35.891;guncel;2025;28.0;34.0;42.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000001-SKU02;SYN-FRM-000001;PS-028;Tasima kolisi;ikincil;kagit_karton;Oluklu mukavva koli standart;481910;Oluklu kagit veya kartondan kutular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.076353;315.473;326.337;guncel;2025;250.0;350.0;500.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000001-SKU03;SYN-FRM-000001;PS-001;Ambalajli su;birincil;plastik;PET sise 0,5 L;220110;Mineral sular ve gazli sular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.111104;20.956;20.621;guncel;2025;12.0;16.0;22.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000001-SKU04;SYN-FRM-000001;PS-005;Meyve suyu;birincil;kompozit;Karton kutu 1 L;200980;Diger meyve ve sebze sulari;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.086843;26.745;27.232;guncel;2025;26.0;30.0;36.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000001-SKU05;SYN-FRM-000001;PS-030;Streç ve bant;ucuncul;plastik;Strec film ve bantlama;392010;Etilen polimerlerinden plakalar ve filmler;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.010921;79.662;78.95;guncel;2025;40.0;90.0;180.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000001-SKU06;SYN-FRM-000001;PS-006;Salca ve konserve;birincil;metal;Teneke kutu 400 g;200290;Domates - sirke disi hazirlanmis;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.035419;67.195;65.813;guncel;2025;45.0;56.0;70.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000001-SKU07;SYN-FRM-000001;PS-007;Recel ve turşu;birincil;cam;Cam kavanoz 500 ml;200799;Recel jel ve marmelat;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.388517;341.778;347.78;guncel;2025;240.0;295.0;360.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000001-SKU08;SYN-FRM-000001;PS-004;Gazli icecek;birincil;metal;Aluminyum kutu 0,33 L;220210;Ilave sekerli sular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.014863;15.337;15.58;guncel;2025;12.0;13.5;16.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000001-SKU09;SYN-FRM-000001;PS-029;Palet;ucuncul;ahsap;EUR tipi ahsap palet;441510;Ahsaptan sandik kutu kafes ve palet;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.050489;28289.554;27834.288;guncel;2025;20000.0;23000.0;27000.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000001-SKU10;SYN-FRM-000001;PS-008;Kuru gida ve biskuvi;birincil;kagit_karton;Karton kutu;190531;Tatli biskuviler;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.09311;68.659;69.244;guncel;2025;30.0;52.0;90.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
